,0,1,2,3,4,5,6
0,3.0,0.0,34.5,0.0,0.0,7.8292,2.0
1,3.0,1.0,47.0,1.0,0.0,7.0000000000000036,0.0
2,2.0,0.0,62.0,0.0,0.0,9.6875,2.0
3,3.0,0.0,27.0,0.0,0.0,8.662500000000001,0.0
4,3.0,1.0,22.0,1.0,1.0,12.287500000000001,0.0
5,3.0,0.0,14.0,0.0,0.0,9.225000000000001,0.0
6,3.0,1.0,30.0,0.0,0.0,7.629199999999997,2.0
7,2.0,0.0,26.0,1.0,1.0,29.0,0.0
8,3.0,1.0,18.0,0.0,0.0,7.229199999999999,1.0
9,3.0,0.0,21.0,2.0,0.0,24.15,0.0
10,3.0,0.0,40.5,0.0,0.0,7.895800000000001,0.0
11,1.0,0.0,46.0,0.0,0.0,26.0,0.0
12,1.0,1.0,23.0,1.0,0.0,82.2667,0.0
13,2.0,0.0,63.0,1.0,0.0,26.0,0.0
14,1.0,1.0,47.0,1.0,0.0,61.175,0.0
15,2.0,1.0,24.0,1.0,0.0,27.7208,1.0
16,2.0,0.0,35.0,0.0,0.0,12.350000000000001,2.0
17,3.0,0.0,21.0,0.0,0.0,7.225000000000001,1.0
18,3.0,1.0,27.0,1.0,0.0,7.925000000000001,0.0
19,3.0,1.0,45.0,0.0,0.0,7.225000000000001,1.0
20,1.0,0.0,55.0,1.0,0.0,59.4,1.0
21,3.0,0.0,9.0,0.0,1.0,3.1708,0.0
22,1.0,1.0,39.0,0.0,0.0,31.6833,0.0
23,1.0,0.0,21.0,0.0,1.0,61.3792,1.0
24,1.0,1.0,48.0,1.0,3.0,262.375,1.0
25,3.0,0.0,50.0,1.0,0.0,14.5,0.0
26,1.0,1.0,22.0,0.0,1.0,61.9792,1.0
27,3.0,0.0,22.5,0.0,0.0,7.225000000000001,1.0
28,1.0,0.0,41.0,0.0,0.0,30.5,0.0
29,3.0,0.0,18.666666666666668,2.0,0.0,21.6792,1.0
30,2.0,0.0,50.0,1.0,0.0,26.0,0.0
31,2.0,0.0,24.0,2.0,0.0,31.5,0.0
32,3.0,1.0,33.0,1.0,2.0,20.575,0.0
33,3.0,1.0,19.723333333333333,1.0,2.0,23.45,0.0
34,1.0,0.0,30.0,1.0,0.0,57.75,1.0
35,3.0,0.0,18.5,0.0,0.0,7.229199999999999,1.0
36,3.0,1.0,23.333333333333336,0.0,0.0,8.05,0.0
37,3.0,1.0,21.0,0.0,0.0,8.662500000000001,0.0
38,3.0,0.0,25.0,0.0,0.0,9.5,0.0
39,3.0,0.0,40.166666666666664,0.0,0.0,56.4958,0.0
40,3.0,0.0,39.0,0.0,1.0,13.416699999999999,1.0
41,1.0,0.0,39.0,0.0,0.0,26.55,0.0
42,3.0,0.0,41.0,0.0,0.0,7.850000000000001,0.0
43,2.0,1.0,30.0,0.0,0.0,13.0,0.0
44,1.0,1.0,45.0,1.0,0.0,52.5542,0.0
45,3.0,0.0,25.0,0.0,0.0,7.925000000000001,0.0
46,1.0,0.0,45.0,0.0,0.0,29.7,1.0
47,3.0,0.0,24.333333333333336,0.0,0.0,7.75,2.0
48,1.0,1.0,60.0,0.0,0.0,76.2917,1.0
